2021-10-24 17:09:53 | INFO | fairseq_cli.generate | Namespace(all_gather_list_size=16384, batch_size=64, batch_size_valid=64, beam=5, bf16=False, bpe='sentencepiece', broadcast_buffers=False, bucket_cap_mb=25, checkpoint_shard_count=1, checkpoint_suffix='', constraints=None, cpu=False, criterion='cross_entropy', curriculum=0, data='/mnt/Machine-Translation/processed/gu/gu-en', data_buffer_size=10, dataset_impl=None, ddp_backend='c10d', decoding_format=None, device_id=0, disable_validation=False, distributed_backend='nccl', distributed_init_method=None, distributed_no_spawn=False, distributed_port=-1, distributed_rank=0, distributed_world_size=1, distributed_wrapper='DDP', diverse_beam_groups=-1, diverse_beam_strength=0.5, diversity_rate=-1.0, empty_cache_freq=0, eval_bleu=False, eval_bleu_args=None, eval_bleu_detok='space', eval_bleu_detok_args=None, eval_bleu_print_samples=False, eval_bleu_remove_bpe=None, eval_tokenized_bleu=False, fast_stat_sync=False, find_unused_parameters=False, fix_batches_to_gpus=False, fixed_validation_seed=None, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_no_flatten_grads=False, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', iter_decode_eos_penalty=0.0, iter_decode_force_max_iter=False, iter_decode_max_iter=10, iter_decode_with_beam=1, iter_decode_with_external_reranker=False, langs='ar_AR,cs_CZ,de_DE,en_XX,es_XX,et_EE,fi_FI,fr_XX,gu_IN,hi_IN,it_IT,ja_XX,kk_KZ,ko_KR,lt_LT,lv_LV,my_MM,ne_NP,nl_XX,ro_RO,ru_RU,si_LK,tr_TR,vi_VN,zh_CN', left_pad_source='True', left_pad_target='False', lenpen=1, lm_path=None, lm_weight=0.0, load_alignments=False, localsgd_frequency=3, log_format=None, log_interval=100, lr_scheduler='fixed', lr_shrink=0.1, match_source_len=False, max_len_a=0, max_len_b=200, max_source_positions=1024, max_target_positions=1024, max_tokens=None, max_tokens_valid=None, memory_efficient_bf16=False, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', model_parallel_size=1, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, no_seed_provided=False, nprocs_per_node=1, num_batch_buckets=0, num_shards=1, num_workers=1, optimizer=None, path='/mnt/Machine-Translation/no_transfer/checkpoint_best.pt', pipeline_balance=None, pipeline_checkpoint='never', pipeline_chunks=0, pipeline_decoder_balance=None, pipeline_decoder_devices=None, pipeline_devices=None, pipeline_encoder_balance=None, pipeline_encoder_devices=None, pipeline_model_parallel=False, prefix_size=0, prepend_bos=False, print_alignment=False, print_step=False, profile=False, quantization_config_path=None, quiet=False, remove_bpe='sentencepiece', replace_unk=None, required_batch_size_multiple=8, required_seq_len_multiple=1, results_path=None, retain_dropout=False, retain_dropout_modules=None, retain_iter_history=False, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, scoring='bleu', seed=1, sentencepiece_model='/mnt/mbart.cc25.v2/sentence.bpe.model', shard_id=0, skip_invalid_size_inputs_valid_test=False, slowmo_algorithm='LocalSGD', slowmo_momentum=None, source_lang='gu_IN', target_lang='en_XX', task='translation_from_pretrained_bart', temperature=1.0, tensorboard_logdir=None, threshold_loss_scale=None, tokenizer=None, tpu=False, train_subset='train', truncate_source=False, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, valid_subset='valid', validate_after_updates=0, validate_interval=1, validate_interval_updates=0, warmup_updates=0, zero_sharding='none')
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | [gu_IN] dictionary: 250001 types
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | [en_XX] dictionary: 250001 types
2021-10-24 17:09:55 | INFO | fairseq.data.data_utils | loaded 930 examples from: /mnt/Machine-Translation/processed/gu/gu-en/test.gu_IN-en_XX.gu_IN
2021-10-24 17:09:55 | INFO | fairseq.data.data_utils | loaded 930 examples from: /mnt/Machine-Translation/processed/gu/gu-en/test.gu_IN-en_XX.en_XX
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | /mnt/Machine-Translation/processed/gu/gu-en test gu_IN-en_XX 930 examples
2021-10-24 17:09:55 | INFO | fairseq_cli.generate | loading model(s) from /mnt/Machine-Translation/no_transfer/checkpoint_best.pt
S-315	đôngminh[gu_IN]
D-871	-1.9112361669540405	સમાજસમાજ
P-871	-0.0070 -6.5222 -1.3483 -0.7040 -0.9748
S-923	મેર[gu_IN]
T-923	merpeople
H-923	-1.6668908596038818	
D-923	-1.6668908596038818	
P-923	-0.0063 -3.3275
S-87	સીધી[gu_IN]
T-87	sidhi
H-87	-1.9040368795394897	
D-87	-1.9040368795394897	
P-87	-0.0067 -3.8013
S-778	સોનાર[gu_IN]
T-778	sonar
H-778	-0.9336374998092651	
D-778	-0.9336374998092651	
P-778	-0.0066 -1.8607
S-616	બેડીયા[gu_IN]
T-616	bediya
H-616	-1.7754645347595215	
D-616	-1.7754645347595215	
P-616	-0.0068 -3.5442
S-894	અનીની[gu_IN]
T-894	anini
H-894	-1.510568618774414	
D-894	-1.510568618774414	
P-894	-0.0063 -3.0148
S-3	રૂમી[gu_IN]
T-3	rumi
H-3	-0.24267925322055817	
D-3	-0.24267925322055817	
P-3	-0.0062 -0.4792
S-854	કારવાર[gu_IN]
T-854	karwar
H-854	-1.6837438344955444	
D-854	-1.6837438344955444	
P-854	-0.0069 -3.3606
S-892	સર્જક[gu_IN]
T-892	author
H-892	-0.9407375454902649	
D-892	-0.9407375454902649	
P-892	-0.0065 -1.8750
S-232	સેવ[gu_IN]
T-232	sev
H-232	-1.441416621208191	
D-232	-1.441416621208191	
P-232	-0.0069 -2.8759
S-584	હાથ[gu_IN]
T-584	hand
H-584	-0.4908875823020935	
D-584	-0.4908875823020935	
P-584	-0.0069 -0.9749
S-825	સમય[gu_IN]
T-825	time
H-825	-0.5830800533294678	
D-825	-0.5830800533294678	
P-825	-0.0070 -1.1592
S-817	સમય[gu_IN]
T-817	time
H-817	-0.5830796957015991	
D-817	-0.5830796957015991	
P-817	-0.0070 -1.1592
S-396	બોલી[gu_IN]
T-396	dialect
H-396	-0.4221205413341522	
D-396	-0.4221205413341522	
P-396	-0.0066 -0.8376
S-153	સંગીત[gu_IN]
T-153	music
H-153	-0.4934784173965454	
D-153	-0.4934784173965454	
P-153	-0.0067 -0.9802
S-779	ફેસબુક[gu_IN]
T-779	facebook
H-779	-0.3767755925655365	
D-779	-0.3767755925655365	
P-779	-0.0065 -0.7471
S-684	ડિસેમ્બર[gu_IN]
T-684	december
H-684	-0.34270110726356506	
D-684	-0.34270110726356506	
P-684	-0.0067 -0.6787
S-355	કંપની[gu_IN]
T-355	company
H-355	-0.5491361618041992	
D-355	-0.5491361618041992	
P-355	-0.0067 -1.0916
S-718	સપ્ટેમ્બર[gu_IN]
T-718	september
H-718	-0.30471891164779663	
D-718	-0.30471891164779663	
P-718	-0.0066 -0.6028
S-888	·[gu_IN]
T-888	·
H-888	-0.5385068655014038	
D-888	-0.5385068655014038	
P-888	-0.0070 -1.0700
S-838	પ્રેમ[gu_IN]
T-838	love
H-838	-0.7027382850646973	
D-838	-0.7027382850646973	
P-838	-0.0070 -1.3985
S-311	નવેમ્બર[gu_IN]
T-311	november
H-311	-0.3794005215167999	
D-311	-0.3794005215167999	
P-311	-0.0066 -0.7522
S-294	તારા[gu_IN]
T-294	tara
H-294	-0.532139241695404	
D-294	-0.532139241695404	
P-294	-0.0068 -1.0575
S-441	૨[gu_IN]
T-441	2
H-441	-0.4447604715824127	
D-441	-0.4447604715824127	
P-441	-0.0066 -0.8830
S-841	વ્યવસાય[gu_IN]
T-841	job
H-841	-0.4700285792350769	
D-841	-0.4700285792350769	
P-841	-0.0067 -0.9334
S-895	સમાચાર[gu_IN]
T-895	news
H-895	-1.015844464302063	
D-895	-1.015844464302063	
P-895	-0.0066 -2.0251
S-278	ઉદ્યોગ[gu_IN]
T-278	industry
H-278	-0.46674659848213196	
D-278	-0.46674659848213196	
P-278	-0.0068 -0.9267
S-836	વર્ષ[gu_IN]
T-836	year
H-836	-0.5676784515380859	
D-836	-0.5676784515380859	
P-836	-0.0072 -1.1281
S-662	ક્રિકેટ[gu_IN]
T-662	cricket
H-662	-0.6981140971183777	
D-662	-0.6981140971183777	
P-662	-0.0074 -1.3888
S-560	ભોગ[gu_IN]
T-560	bhog
H-560	-0.4546009600162506	
D-560	-0.4546009600162506	
P-560	-0.0067 -0.9025
S-731	કવિ[gu_IN]
T-731	poets
H-731	-0.5828818678855896	
D-731	-0.5828818678855896	
P-731	-0.0068 -1.1589
S-577	ઓક્ટોબર[gu_IN]
T-577	october
H-577	-0.40150153636932373	
D-577	-0.40150153636932373	
P-577	-0.0066 -0.7964
S-360	આરોગ્ય[gu_IN]
T-360	healthcare
H-360	-0.3831885755062103	
D-360	-0.3831885755062103	
P-360	-0.0068 -0.7596
S-750	સંદેશ[gu_IN]
T-750	sandesh
H-750	-0.3316250443458557	
D-750	-0.3316250443458557	
P-750	-0.0067 -0.6566
S-611	મુંબઈ[gu_IN]
T-611	mumbai
H-611	-0.3775269687175751	
D-611	-0.3775269687175751	
P-611	-0.0065 -0.7485
S-214	વડોદરા[gu_IN]
T-214	vadodara
H-214	-0.4545198678970337	
D-214	-0.4545198678970337	
P-214	-0.0068 -0.9022
S-469	[gu_IN]
T-469	
H-469	-1.5351234674453735	
D-469	-1.5351234674453735	
P-469	-0.0073 -3.0630
S-382	મસ્તાની[gu_IN]
T-382	mastani
H-382	-0.9010923504829407	
D-382	-0.9010923504829407	
P-382	-0.0073 -1.7949
S-473	માઈલ[gu_IN]
T-473	mile
H-473	-0.4908730089664459	
D-473	-0.4908730089664459	
P-473	-0.0074 -0.9744
S-786	હવામાન[gu_IN]
T-786	weather
H-786	-0.929318904876709	
D-786	-0.929318904876709	
P-786	-0.0071 -1.8515
S-114	કાફિર[gu_IN]
T-114	kafir
H-114	-0.33515840768814087	
D-114	-0.33515840768814087	
P-114	-0.0071 -0.6632
S-744	રોટલી[gu_IN]
T-744	roti
H-744	-0.43042466044425964	
D-744	-0.43042466044425964	
P-744	-0.0078 -0.8530
S-417	ગુલાબ[gu_IN]
T-417	rose
H-417	-0.9564628601074219	
D-417	-0.9564628601074219	
P-417	-0.0074 -1.9055
S-533	સંગણક[gu_IN]
T-533	computer
H-533	-1.0854599475860596	
D-533	-1.0854599475860596	
P-533	-0.0075 -2.1634
S-210	પ્રાણવાયુ[gu_IN]
T-210	oxygen
H-210	-0.4096621572971344	
D-210	-0.4096621572971344	
P-210	-0.0066 -0.8127
S-37	કોદાળી[gu_IN]
T-37	hoe
H-37	-0.8890437483787537	
D-37	-0.8890437483787537	
P-37	-0.0073 -1.7708
S-35	લાતેહાર[gu_IN]
T-35	latehar
H-35	-0.715722918510437	
D-35	-0.715722918510437	
P-35	-0.0064 -1.4251
S-202	મેચીનદી[gu_IN]
T-202	mechiriver
H-202	-1.3367301225662231	
D-202	-1.3367301225662231	
P-202	-0.0070 -2.6664
S-265	વસતીવધારો[gu_IN]
T-265	populationgrowth
H-265	-0.8311701416969299	
D-265	-0.8311701416969299	
P-265	-0.0068 -1.6555
S-638	માર્ચ૨૨[gu_IN]
T-638	march22
H-638	-0.8655515909194946	૨૨
D-638	-0.8655515909194946	૨૨
P-638	-0.0072 -2.9379 -0.6539 -0.5146 -0.2142
S-223	ખંડાલા[gu_IN]
T-223	khandala
H-223	-0.6231887340545654	
D-223	-0.6231887340545654	
P-223	-0.0073 -1.2391
S-350	ડલ્લાસ[gu_IN]
T-350	dallas
H-350	-0.5078651905059814	
D-350	-0.5078651905059814	
P-350	-0.0081 -1.0077
S-840	મેરઠ[gu_IN]
T-840	meerut
H-840	-1.066725730895996	મેરઠ
D-840	-1.066725730895996	મેરઠ
P-840	-0.0070 -4.2438 -1.7687 -0.0776 -0.1974 -0.1058
S-241	નકશો[gu_IN]
T-241	map
H-241	-1.5199536085128784	
D-241	-1.5199536085128784	
P-241	-0.0073 -3.0326
S-516	ભિંડ[gu_IN]
T-516	bhind
H-516	-0.2915370464324951	
D-516	-0.2915370464324951	
P-516	-0.0066 -0.5764
S-457	આસામ[gu_IN]
T-457	assam
H-457	-0.3501177132129669	
D-457	-0.3501177132129669	
P-457	-0.0072 -0.6930
S-422	નવેમ્બર૧૨[gu_IN]
T-422	november12
H-422	-1.2437670230865479	
D-422	-1.2437670230865479	
P-422	-0.0068 -2.4807
S-483	તુણા[gu_IN]
T-483	tunaport
H-483	-1.4431729316711426	
D-483	-1.4431729316711426	
P-483	-0.0074 -2.8790
S-876	પેટલાદ[gu_IN]
T-876	petlad
H-876	-0.7303803563117981	
D-876	-0.7303803563117981	
P-876	-0.0066 -1.4542
S-537	યાટ[gu_IN]
T-537	yacht
H-537	-0.49497556686401367	
D-537	-0.49497556686401367	
P-537	-0.0075 -0.9825
S-742	સમુરાઇ[gu_IN]
T-742	samurai
H-742	-0.37512701749801636	
D-742	-0.37512701749801636	
P-742	-0.0065 -0.7438
S-175	બિંદુ[gu_IN]
T-175	bindu
H-175	-0.8153749108314514	
D-175	-0.8153749108314514	
P-175	-0.0065 -1.6243
S-543	નેપાળ[gu_IN]
T-543	nepal
H-543	-0.6838087439537048	
D-543	-0.6838087439537048	
P-543	-0.0070 -1.3607
S-857	ત્રીજ[gu_IN]
T-857	tritiya
H-857	-1.2029168605804443	
D-857	-1.2029168605804443	
P-857	-0.0075 -2.3983
S-713	એપ્રિલ૨૩[gu_IN]
T-713	april23
H-713	-0.6823201179504395	૨૩
D-713	-0.6823201179504395	૨૩
P-713	-0.0070 -2.4197 -0.6632 -0.0775 -0.2442
S-47	અમલનેર[gu_IN]
T-47	amalner
H-47	-0.993351399898529	
D-47	-0.993351399898529	
P-47	-0.0080 -1.9787
S-481	મસાલા[gu_IN]
T-481	spices
H-481	-0.2948838770389557	
D-481	-0.2948838770389557	
P-481	-0.0074 -0.5824
S-527	મે૧૮[gu_IN]
T-527	may18
H-527	-0.5920596122741699	૧૮
D-527	-0.5920596122741699	૧૮
P-527	-0.0071 -1.4789 -1.1019 -0.1730 -0.1993
S-248	ચચાણા[gu_IN]
T-248	chachana
H-248	-0.5577294826507568	
D-248	-0.5577294826507568	
P-248	-0.0069 -1.1086
S-654	મીઠું[gu_IN]
T-654	salt
H-654	-0.5288115739822388	
D-654	-0.5288115739822388	
P-654	-0.0073 -1.0503
S-189	માખણ[gu_IN]
T-189	butter
H-189	-0.5843836069107056	
D-189	-0.5843836069107056	
P-189	-0.0078 -1.1610
S-274	રાજાલાલ[gu_IN]
T-274	orangeminivet
H-274	-1.193523645401001	
D-274	-1.193523645401001	
P-274	-0.0062 -2.3809
S-889	અત્રિ[gu_IN]
T-889	atri
H-889	-1.4119161367416382	
D-889	-1.4119161367416382	
P-889	-0.0069 -2.8169
S-198	મૂળનામ[gu_IN]
T-198	nativename
H-198	-0.7385054230690002	નામ
D-198	-0.7385054230690002	નામ
P-198	-0.0068 -2.3605 -0.2676 -0.3191
S-858	વરૂ[gu_IN]
T-858	indianwolf
H-858	-1.5940495729446411	
D-858	-1.5940495729446411	
P-858	-0.0072 -3.1809
S-330	મંગળવાર[gu_IN]
T-330	tuesday
H-330	-1.9382871389389038	
D-330	-1.9382871389389038	
P-330	-0.0067 -3.8699
S-657	બાવળ[gu_IN]
T-657	gumarabic
H-657	-1.4124363660812378	
D-657	-1.4124363660812378	
P-657	-0.0068 -2.8181
S-270	ખાવડા[gu_IN]
T-270	khavda
H-270	-1.7309402227401733	
D-270	-1.7309402227401733	
P-270	-0.0068 -3.4550
S-70	રાજકપૂર[gu_IN]
T-70	rajkapoor
H-70	-0.6164485216140747	કપૂર
D-70	-0.6164485216140747	કપૂર
P-70	-0.0068 -1.5457 -0.4955 -0.4178
S-27	ભારતીયસમય[gu_IN]
T-27	timeinindia
H-27	-0.540786623954773	સમય
D-27	-0.540786623954773	સમય
P-27	-0.0071 -1.1454 -0.4800 -0.5306
S-804	કેલાલ[gu_IN]
T-804	klal
H-804	-1.2142740488052368	
D-804	-1.2142740488052368	
P-804	-0.0062 -2.4223
S-590	અક્ષરધામ[gu_IN]
T-590	akshardham
H-590	-1.624083399772644	
D-590	-1.624083399772644	
P-590	-0.0067 -3.2415
S-159	જૂન૧૯[gu_IN]
T-159	june19
H-159	-0.5608527064323425	
D-159	-0.5608527064323425	
P-159	-0.0063 -1.1154
S-393	એટા[gu_IN]
T-393	etah
H-393	-2.099929094314575	
D-393	-2.099929094314575	
P-393	-0.0070 -4.1929
S-431	નવેમ્બર૧૦[gu_IN]
T-431	november10
H-431	-1.2881382703781128	
D-431	-1.2881382703781128	
P-431	-0.0066 -2.5696
S-64	વિશ્વબેંક[gu_IN]
T-64	worldbank
H-64	-0.5294020771980286	બેંક
D-64	-0.5294020771980286	બેંક
P-64	-0.0066 -1.5499 -0.2218 -0.3393
S-160	ગુજરાતીભોજન[gu_IN]
T-160	gujaraticuisine
H-160	-0.3912723958492279	ભોજન
D-160	-0.3912723958492279	ભોજન
P-160	-0.0069 -1.3023 -0.0505 -0.2053
S-364	ફૂલાય[gu_IN]
T-364	fulaybhuj
H-364	-1.226493000984192	
D-364	-1.226493000984192	
P-364	-0.0064 -2.4465
S-510	રાવેર[gu_IN]
T-510	ravermaharashtra
H-510	-1.2848714590072632	
D-510	-1.2848714590072632	
P-510	-0.0077 -2.5620
S-899	ઉત્તરપ્રદેશ[gu_IN]
T-899	uttarpradesh
H-899	-0.25105634331703186	પ્રદેશ
D-899	-0.25105634331703186	પ્રદેશ
P-899	-0.0070 -0.3172 -0.1230 -0.5571
S-287	વાઇ[gu_IN]
T-287	waimaharashtra
H-287	-1.6243325471878052	
D-287	-1.6243325471878052	
P-287	-0.0073 -3.2414
S-327	કાતર[gu_IN]
T-327	scissors
H-327	-1.360514521598816	
D-327	-1.360514521598816	
P-327	-0.0069 -2.7141
S-319	શિક્ષકદિન[gu_IN]
T-319	listofteachersdays
H-319	-0.5892112255096436	દિન
D-319	-0.5892112255096436	દિન
P-319	-0.0071 -0.9171 -1.2023 -0.2304
S-254	ગુજરાતસરકાર[gu_IN]
T-254	governmentofgujarat
H-254	-0.6029535531997681	સરકાર
D-254	-0.6029535531997681	સરકાર
P-254	-0.0079 -1.5727 -0.4905 -0.3407
S-494	ભારતનાવડાપ્રધાન[gu_IN]
T-494	primeministersofindia
H-494	-0.8091332316398621	વડાપ્રધાન
D-494	-0.8091332316398621	વડાપ્રધાન
P-494	-0.0071 -2.2803 -0.5773 -0.3718
S-165	સુરી[gu_IN]
T-165	suribirbhum
H-165	-0.7182509899139404	
D-165	-0.7182509899139404	
P-165	-0.0072 -1.4293
S-704	કાકર[gu_IN]
T-704	kakarbanaskantha
H-704	-0.5022079348564148	
D-704	-0.5022079348564148	
P-704	-0.0068 -0.9976
S-456	ભાત[gu_IN]
T-456	bhatdaskroi
H-456	-1.4560855627059937	
D-456	-1.4560855627059937	
P-456	-0.0069 -2.9053
S-426	રામપુર[gu_IN]
T-426	rampuruttarpradesh
H-426	-1.0759998559951782	
D-426	-1.0759998559951782	
P-426	-0.0065 -2.1455
S-719	વંડા[gu_IN]
T-719	vandasavarkundla
H-719	-1.1550085544586182	
D-719	-1.1550085544586182	
P-719	-0.0067 -2.3033
